fips,state,year,share_20_34
25,Massachusetts,2017,0.214351
25,Massachusetts,2018,0.214528
25,Massachusetts,2019,0.214725
25,Massachusetts,2020,0.209591
25,Massachusetts,2021,0.208743
25,Massachusetts,2022,0.207513
25,Massachusetts,2023,0.206867
26,Michigan,2000,0.201403
26,Michigan,2001,0.199751
26,Michigan,2002,0.198278
26,Michigan,2003,0.196939
26,Michigan,2004,0.194735
26,Michigan,2005,0.192363
26,Michigan,2006,0.189446
26,Michigan,2007,0.186934
26,Michigan,2008,0.185519
26,Michigan,2009,0.184938
26,Michigan,2010,0.185873
26,Michigan,2011,0.188821
26,Michigan,2012,0.191505
26,Michigan,2013,0.19379
26,Michigan,2014,0.195557
26,Michigan,2015,0.196483
26,Michigan,2016,0.19753
26,Michigan,2017,0.198484
26,Michigan,2018,0.199104
26,Michigan,2019,0.199556
26,Michigan,2020,0.197214
26,Michigan,2021,0.197653
26,Michigan,2022,0.197918
26,Michigan,2023,0.197759
27,Minnesota,2000,0.202039
27,Minnesota,2001,0.200819
27,Minnesota,2002,0.201105
27,Minnesota,2003,0.201292
27,Minnesota,2004,0.200462
27,Minnesota,2005,0.200091
27,Minnesota,2006,0.199632
27,Minnesota,2007,0.200106
27,Minnesota,2008,0.201119
27,Minnesota,2009,0.201849
27,Minnesota,2010,0.201634
27,Minnesota,2011,0.202211
27,Minnesota,2012,0.203297
27,Minnesota,2013,0.203952
27,Minnesota,2014,0.203856
27,Minnesota,2015,0.202932
27,Minnesota,2016,0.201884
27,Minnesota,2017,0.200783
27,Minnesota,2018,0.199545
27,Minnesota,2019,0.198371
27,Minnesota,2020,0.194431
27,Minnesota,2021,0.19322
27,Minnesota,2022,0.191518
27,Minnesota,2023,0.19115
28,Mississippi,2000,0.208787
28,Mississippi,2001,0.208663
28,Mississippi,2002,0.208674
28,Mississippi,2003,0.20836
28,Mississippi,2004,0.207578
28,Mississippi,2005,0.205974
28,Mississippi,2006,0.203324
28,Mississippi,2007,0.201803
28,Mississippi,2008,0.200954
28,Mississippi,2009,0.201323
28,Mississippi,2010,0.199898
28,Mississippi,2011,0.20196
28,Mississippi,2012,0.20306
28,Mississippi,2013,0.204315
28,Mississippi,2014,0.204333
28,Mississippi,2015,0.202862
28,Mississippi,2016,0.201513
28,Mississippi,2017,0.200255
28,Mississippi,2018,0.198566
28,Mississippi,2019,0.19768
28,Mississippi,2020,0.194278
28,Mississippi,2021,0.194451
28,Mississippi,2022,0.193998
28,Mississippi,2023,0.193938
29,Missouri,2000,0.197719
29,Missouri,2001,0.197485
29,Missouri,2002,0.198142
29,Missouri,2003,0.198437
29,Missouri,2004,0.198548
29,Missouri,2005,0.197822
29,Missouri,2006,0.197028
29,Missouri,2007,0.19675
29,Missouri,2008,0.196822
29,Missouri,2009,0.197771
29,Missouri,2010,0.19755
29,Missouri,2011,0.199768
29,Missouri,2012,0.201445
29,Missouri,2013,0.202494
29,Missouri,2014,0.202926
29,Missouri,2015,0.202448
29,Missouri,2016,0.201541
29,Missouri,2017,0.20091
29,Missouri,2018,0.199969
29,Missouri,2019,0.199289
29,Missouri,2020,0.196511
29,Missouri,2021,0.196608
29,Missouri,2022,0.196038
29,Missouri,2023,0.19564
30,Montana,2000,0.178651
30,Montana,2001,0.177897
30,Montana,2002,0.179884
30,Montana,2003,0.182762
30,Montana,2004,0.184939
30,Montana,2005,0.186832
30,Montana,2006,0.187676
30,Montana,2007,0.188199
30,Montana,2008,0.189826
30,Montana,2009,0.191107
30,Montana,2010,0.190523
30,Montana,2011,0.19232
30,Montana,2012,0.194419
30,Montana,2013,0.196421
30,Montana,2014,0.197227
30,Montana,2015,0.197246
30,Montana,2016,0.197121
30,Montana,2017,0.19697
30,Montana,2018,0.19606
30,Montana,2019,0.195531
30,Montana,2020,0.19243
30,Montana,2021,0.1944
30,Montana,2022,0.195445
30,Montana,2023,0.195247
31,Nebraska,2000,0.200444
31,Nebraska,2001,0.199271
31,Nebraska,2002,0.199964
31,Nebraska,2003,0.201546
31,Nebraska,2004,0.202038
31,Nebraska,2005,0.202479
31,Nebraska,2006,0.202348
31,Nebraska,2007,0.202239
31,Nebraska,2008,0.203014
31,Nebraska,2009,0.204143
31,Nebraska,2010,0.203374
31,Nebraska,2011,0.20385
31,Nebraska,2012,0.205141
31,Nebraska,2013,0.205714
31,Nebraska,2014,0.206291
31,Nebraska,2015,0.205421
31,Nebraska,2016,0.204681
31,Nebraska,2017,0.203423
31,Nebraska,2018,0.201956
31,Nebraska,2019,0.200668
