fips,state,year,beer_tax_per_gal,source_url,rate_as_of
6,California,2005,0.2,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
6,California,2006,0.2,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
6,California,2007,0.2,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
6,California,2008,0.2,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
6,California,2010,0.2,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
6,California,2013,0.2,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
6,California,2014,0.2,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
6,California,2015,0.2,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
6,California,2016,0.2,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
6,California,2017,0.2,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
6,California,2020,0.2,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
6,California,2021,0.2,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
6,California,2022,0.2,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
8,Colorado,2000,0.08,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
8,Colorado,2001,0.08,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
8,Colorado,2002,0.08,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
8,Colorado,2003,0.08,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
8,Colorado,2004,0.08,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
8,Colorado,2005,0.08,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
8,Colorado,2006,0.08,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
8,Colorado,2007,0.08,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
8,Colorado,2008,0.08,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
8,Colorado,2010,0.08,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
8,Colorado,2013,0.08,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
8,Colorado,2014,0.08,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
8,Colorado,2015,0.08,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
8,Colorado,2016,0.08,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
8,Colorado,2017,0.08,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
8,Colorado,2020,0.08,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
8,Colorado,2021,0.08,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
8,Colorado,2022,0.08,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
9,Connecticut,2000,0.19,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
9,Connecticut,2001,0.19,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
9,Connecticut,2002,0.19,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
9,Connecticut,2003,0.19,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
9,Connecticut,2004,0.19,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
9,Connecticut,2005,0.19,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
9,Connecticut,2006,0.19,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
