fips,state,estimator,year,gap
32,Nevada,classic_scm,2002,0.0598513168481696
32,Nevada,classic_scm,2003,0.0684146622358666
32,Nevada,classic_scm,2004,0.0711505630556122
32,Nevada,classic_scm,2005,0.0414799803266004
32,Nevada,classic_scm,2006,0.0602996377899563
32,Nevada,classic_scm,2007,0.0177261891301175
32,Nevada,classic_scm,2008,0.0247947688806114
32,Nevada,classic_scm,2009,-0.0732299732127477
32,Nevada,classic_scm,2010,-0.0422267317335778
32,Nevada,classic_scm,2011,-0.0686660515542734
32,Nevada,classic_scm,2012,-0.0739266614034617
32,Nevada,classic_scm,2013,-0.0648356779155517
32,Nevada,classic_scm,2014,-0.0239247451748532
32,Nevada,classic_scm,2015,-0.0564332413678697
32,Nevada,classic_scm,2016,-0.0128778095328768
32,Nevada,classic_scm,2017,0.0110012949825458
32,Nevada,classic_scm,2018,0.00856397625587491
32,Nevada,classic_scm,2019,-0.00417012712857434
32,Nevada,ridge_ascm,2000,0.0083424921193398
32,Nevada,ridge_ascm,2001,0.0166681140350899
32,Nevada,ridge_ascm,2002,0.0067880107151066
32,Nevada,ridge_ascm,2003,0.0105485326366517
32,Nevada,ridge_ascm,2004,0.0070956290302473
32,Nevada,ridge_ascm,2005,0.0028820506131233
32,Nevada,ridge_ascm,2006,0.0187610690632707
32,Nevada,ridge_ascm,2007,-0.00611454686595825
32,Nevada,ridge_ascm,2008,0.0243980003951749
32,Nevada,ridge_ascm,2009,-0.0537414441762489
32,Nevada,ridge_ascm,2010,-0.0100711181853608
32,Nevada,ridge_ascm,2011,-0.0211326908313203
32,Nevada,ridge_ascm,2012,-0.0215202349127814
32,Nevada,ridge_ascm,2013,-0.0150785242266989
32,Nevada,ridge_ascm,2014,0.0282570944247469
32,Nevada,ridge_ascm,2015,-0.012446884356291
32,Nevada,ridge_ascm,2016,0.0227304383773359
32,Nevada,ridge_ascm,2017,0.0465510388650123
32,Nevada,ridge_ascm,2018,0.0332219810783208
32,Nevada,ridge_ascm,2019,0.0159697907242158
41,Oregon,classic_scm,2000,-0.0228626860943344
41,Oregon,classic_scm,2001,-0.000804289553191229
41,Oregon,classic_scm,2002,0.0124875318379879
41,Oregon,classic_scm,2003,-0.0129508337737793
41,Oregon,classic_scm,2004,0.00641367266481852
41,Oregon,classic_scm,2005,-0.0146814616043491
41,Oregon,classic_scm,2006,0.0243675961897611
41,Oregon,classic_scm,2007,0.0310730403188937
41,Oregon,classic_scm,2008,-0.0200692434711303
41,Oregon,classic_scm,2009,0.00789013779231995
41,Oregon,classic_scm,2010,-0.0124697306763761
41,Oregon,classic_scm,2011,-0.00314900393000772
41,Oregon,classic_scm,2012,-0.00457310886558293
