draw,null_att
222,0.0112128127302375
223,0.0113570025288421
224,-0.0317388658573089
225,0.00870828075750854
226,-0.00160223593723633
227,0.00330610993277971
228,-0.0450891153316017
229,0.0199295039968226
230,0.0186810177785764
231,0.000929567962847229
232,-0.0430156564663548
233,0.0271456352300156
234,0.0223544568606306
235,-0.00804483111232394
236,0.00617301426656534
237,0.0742509511521223
238,-0.0178108798519396
239,0.000791354379731527
240,0.0310780284851564
241,0.00807893119706606
242,0.00820233957762398
243,0.0174001631683119
244,-0.0177755709458571
245,-0.00575452491144132
246,0.0165768940289639
247,0.0059222726660876
248,0.01753998904725
249,-0.0213823663266812
250,0.0270596933151454
251,0.0110197313999141
252,0.012990432527706
253,0.00673320205770817
254,-0.00386715900703398
255,0.0189352589127452
256,0.00547529971264088
257,0.00032696776405543
258,-0.00299219228245404
259,-0.037513663812877
260,0.0116771552625038
261,0.0124329342159965
262,0.0102120864088617
263,-0.00588342002905627
264,-0.00491497301607089
265,0.0235650284198591
266,0.0230079867959003
267,-0.0144912215452203
268,-0.00440461039409824
269,0.00101617291362394
270,0.00855024698545643
271,-0.00366728295798624
272,0.030139115897222
273,0.0130669196142307
274,-0.00994241041918231
275,0.00695551230921438
276,0.0379475241124534
277,0.0113200924237347
278,-0.00430499110220601
279,-0.00939454234015357
280,-0.00286486859522371
281,-0.00751052534478579
282,0.0325870996845673
283,0.00275886456264645
284,0.0135412091515249
285,0.00944106977138692
286,-0.0024427954765482
287,-0.0015717138495927
288,-0.0135415589860932
289,-0.0369192376950928
290,0.0309045952591238
291,-0.0300626118418072
292,0.0246305271049901
293,0.0368903449904111
294,0.00810367613890729
295,0.00774904708343412
296,0.0273565268282884
297,-0.00687923114211824
298,-0.017100086721566
299,0.0103159570705881
300,0.0021560494812711
301,0.0294411374154592
302,-0.0146936471754761
303,0.0097668609279857
304,0.0390660945282878
305,0.0101521834146441
306,0.0168034983514833
307,-0.0292953722395685
308,0.00847454584281286
309,-0.00915220843084882
310,0.00170810381671201
311,-0.00910677902702518
312,-0.0269458887401574
313,0.00441980985209675
314,-0.00280482799112666
315,0.0142500528920377
316,-0.00597314450423183
317,0.00602473763129219
318,0.00650178494921846
319,0.0174876431180187
320,-0.0139090014834416
321,0.00957107790936982
322,-0.0591293210125689
323,0.0444061273154621
324,-0.00312831833604933
325,-0.0193247147431995
326,0.017129808512559
327,-0.00444293911756064
328,-0.00793010680927615
329,-0.0315926297507598
330,-0.000253663708539099
331,-0.0124128016604311
332,0.0816737025735532
333,0.00951346734542547
334,-0.0344232505289565
335,0.0141465700016746
336,-0.0512604557393997
337,-0.00836716171558224
338,0.0059037761989902
339,0.0129881375079968
340,-0.0150159496449402
341,0.0327370547979697
342,0.00875024069243068
343,-0.0417003603322795
344,0.0111656263837829
345,-0.0130981883932298
346,0.00256565391729645
347,0.0298974954108582
348,-0.00295440412634915
349,0.0339772079253402
350,0.013058783303264
351,-0.00223963161925594
352,0.0415185616015636
353,0.0239180875924243
354,0.0124368008579705
355,-0.011790222530918
356,-0.0246175723931541
357,-0.0106295567027278
358,0.0118971255712126
359,0.0194402951279141
360,0.0255158745032818
361,-0.00734251846953053
362,0.0101368069778873
363,0.00884663803676429
364,0.00100247889956166
365,0.00053115919059326
366,-0.00259121689047248
367,0.0174313749402282
368,0.0278772415030442
369,0.0100138830788721
370,0.0316914986788885
371,0.0158332191403032
372,-0.0397643635421042
373,-0.00416955195745684
374,-0.00688893887733695
375,0.00899885311625159
376,0.019293769454454
377,0.0387739525375554
378,-0.0410700183918461
379,0.00776261309831925
380,0.00621968739250102
381,0.0140490865363839
