Time,Level,Estimate,Std.Error,lower_bound,upper_bound,state
-7,25,0.00391279884180817,0.0117589066439549,-0.0180049246836318,0.027557387160532,Massachusetts
-6,25,-0.00345661203663816,0.0205585712622012,-0.0450003827134183,0.0356596348530601,Massachusetts
-5,25,0.00091523315408204,0.0203787360924981,-0.0436027634561833,0.0410660644720772,Massachusetts
-4,25,0.00590951871061329,0.0261931269710684,-0.0462337937077695,0.0576161355012455,Massachusetts
-3,25,-0.00727443850844911,0.0390530619515243,-0.0771107282761431,0.0692606531554578,Massachusetts
-2,25,0.00193647415189391,0.0307778293888416,-0.0554518706333069,0.0524201900042374,Massachusetts
-1,25,0.0134081460969424,0.0327483658605475,-0.0517726921326331,0.0696979150860075,Massachusetts
0,25,0.0231124435643673,0.0383367361236594,-0.051548721926134,0.095821142661762,Massachusetts
1,25,0.0239230427602382,0.0434419387003137,-0.0616483239104941,0.104658250991483,Massachusetts
2,25,,,,,Massachusetts
3,25,,,,,Massachusetts
4,25,,,,,Massachusetts
5,25,,,,,Massachusetts
,25,0.0235177431623027,0.0408299282987489,-0.0554905189475487,0.0989305267685127,Massachusetts
-18,41,,,,,Oregon
-17,41,,,,,Oregon
-16,41,,,,,Oregon
-15,41,-0.0229068844395389,0.0554418135062602,-0.120464118805183,0.0891823999173607,Oregon
-14,41,0.00467099485250355,0.0378934386067538,-0.0548533786537579,0.0815722658367579,Oregon
-13,41,-0.00144207527437912,0.0354131840452699,-0.0517858360486309,0.0679771160999367,Oregon
-12,41,-0.0170866784180184,0.0441602926588237,-0.090686534836427,0.0733723300503593,Oregon
-11,41,0.00988946878976282,0.0194901093058618,-0.0276616035376705,0.0477832012409918,Oregon
-10,41,-0.0103464842005605,0.0293372956059142,-0.060317984969004,0.0487383910789298,Oregon
-9,41,0.0276525643507704,0.0453517175670314,-0.0638471235889638,0.110245961154056,Oregon
-8,41,0.0341028092233531,0.0550263684067087,-0.077867978378187,0.136590760770587,Oregon
-7,41,-0.0205876854640359,0.0241655370706605,-0.0668555269623598,0.0247450011611095,Oregon
-6,41,0.00244966001636482,0.0209535865385581,-0.038014284643865,0.0328774577416991,Oregon
-5,41,-0.0190256384205365,0.0219379818620545,-0.0615966959430513,0.0208058430057708,Oregon
-4,41,-0.00148101105981135,0.0213524275788781,-0.0454285686813514,0.0424900894519035,Oregon
-3,41,-0.00506930945725315,0.0300593134204714,-0.0624513241956441,0.0529109374796226,Oregon
-2,41,0.00740030819315618,0.0314887455354034,-0.0533493509597635,0.0677441682557523,Oregon
-1,41,0.0117799613082226,0.0473113614228673,-0.0823811027536126,0.0928801508247123,Oregon
0,41,0.00701011426061093,0.0435405860187767,-0.0808883345478762,0.07582707544565,Oregon
1,41,0.0226785647283618,0.0595888567776097,-0.100327086763514,0.120145575147152,Oregon
2,41,0.029324876515092,0.0688383939500427,-0.111287831627014,0.145636943752807,Oregon
3,41,0.0227660087104276,0.069600706219912,-0.116384450204541,0.13620935861714,Oregon
4,41,0.000963492214223649,0.0542536721610318,-0.102992576728496,0.0847810115963149,Oregon
5,41,,,,,Oregon
,41,0.0165486112857432,0.0581434219106682,-0.099209428059102,0.110177894802919,Oregon
-18,53,,,,,Washington
-17,53,,,,,Washington
-16,53,,,,,Washington
-15,53,,,,,Washington
-14,53,-0.0157483233604622,0.0343867019319751,-0.0777747899220643,0.052083522301937,Washington
-13,53,-0.00354883091871394,0.00820653213351685,-0.0198809925993815,0.0106513019488743,Washington
-12,53,-0.00354934700232201,0.0115644798624713,-0.0274909683715465,0.0152898571820848,Washington
-11,53,-0.00767869527639864,0.0109471007265674,-0.029881199275805,0.0129788225330584,Washington
-10,53,0.0143356743324001,0.0418461733525044,-0.0748217414853831,0.081327906914734,Washington
-9,53,0.0258676818067914,0.0590577526686954,-0.101258603365841,0.122092625450375,Washington
-8,53,-0.0153238563720712,0.021594835378904,-0.0584365417562355,0.024927872504412,Washington
-7,53,0.018922460645902,0.0359343107132318,-0.0578384768324284,0.0787356440845727,Washington
-6,53,0.0153656701388574,0.0246433413445759,-0.0343343921830977,0.0618594358677364,Washington
-5,53,0.0222403400314442,0.0289828749281594,-0.0360661997863763,0.0788552728956935,Washington
-4,53,-0.00319104139674875,0.0214486209742307,-0.0406974659298899,0.0383591736865636,Washington
-3,53,-0.00660462421484265,0.0381902447153896,-0.06988196273382,0.06896692766895,Washington
-2,53,-0.0190456827566526,0.0574832753909371,-0.116916033636678,0.101949749562873,Washington
-1,53,-0.0220414256571831,0.0604717169723569,-0.125098377480942,0.104474701396068,Washington
0,53,-0.0180568249802704,0.0564200460577939,-0.119480026770318,0.0936110186788977,Washington
1,53,-0.0100248621545791,0.0596224923854568,-0.113619450546017,0.102908838709781,Washington
2,53,-0.015046956056422,0.0681270724562321,-0.136335141821891,0.114163488609536,Washington
3,53,-0.0211259848418693,0.0735716840505574,-0.155493195659172,0.118030948913045,Washington
4,53,-0.0173891721275073,0.0701140419581447,-0.147319415090213,0.112290074176152,Washington
5,53,-0.0215311591872999,0.0804441410807709,-0.173039464158476,0.128820973732717,Washington
,53,-0.0171958265579913,0.0677204516620154,-0.141363233981175,0.110079709719184,Washington
